movie_id,title,rating,year,genres
1297574,英雄本色,8.6,2017.0,"剧情, 动作, 犯罪"
1291858,鬼子来了,9.3,2000.0,"剧情, 喜剧"
30306570,囧妈,5.9,2020.0,喜剧
32493124,悬崖之上,7.4,2021.0,"剧情, 动作, 悬疑"
23761370,速度与激情7,8.4,2015.0,"动作, 犯罪"
36081094,热辣滚烫,7.5,2024.0,"剧情, 喜剧"
26662193,前任3：再见前任,5.5,2017.0,"喜剧, 爱情"
25907124,姜子牙,6.6,2020.0,"剧情, 动画, 奇幻"
26394152,大黄蜂,7.0,2019.0,"动作, 科幻, 冒险"
1291875,阳光灿烂的日子,8.8,1995.0,"剧情, 爱情"
35183042,独行月球,6.6,2022.0,"喜剧, 科幻"
25717233,心花路放,7.2,2014.0,"喜剧, 爱情"
25716096,狗十三,8.2,2018.0,"剧情, 家庭"
1291818,饮食男女,9.2,1994.0,"剧情, 家庭"
35376457,爱情神话,8.1,2021.0,"剧情, 喜剧, 爱情"
26289144,滚蛋吧！肿瘤君,7.4,2015.0,"喜剧, 爱情"
1961963,长江七号,7.3,2008.0,"喜剧, 科幻"
26709258,罗小黑战记,8.0,2019.0,"动作, 动画, 奇幻"
26926321,缝纫机乐队,6.6,2017.0,"喜剧, 音乐"
1292679,春光乍泄,9.0,1997.0,"剧情, 爱情, 同性"
26280528,从你的全世界路过,5.3,2016.0,"喜剧, 爱情"
26826330,刺杀小说家,6.5,2021.0,"动作, 奇幻, 冒险"
3821067,一代宗师,8.2,2013.0,"剧情, 动作, 爱情, 传记"
1291550,天下无贼,8.2,2004.0,"剧情, 动作, 犯罪"
25870084,重返20岁,7.1,2015.0,"喜剧, 爱情, 奇幻"
35267224,孤注一掷,6.9,2023.0,"剧情, 犯罪"
26260853,速度与激情8,7.0,2017.0,"动作, 犯罪"
36653918,抓娃娃,7.1,2024.0,喜剧
25798222,亲爱的,8.4,2014.0,"剧情, 家庭"
1303394,青蛇,8.6,2025.0,"剧情, 爱情, 奇幻, 古装"
3792799,岁月神偷,8.7,2010.0,"剧情, 家庭"
27092785,李茶的姑妈,4.6,2018.0,喜剧
26683723,后来的我们,5.9,2018.0,"剧情, 爱情"
20376577,小时代,5.0,2013.0,"剧情, 喜剧, 爱情"
1305164,甜蜜蜜,8.9,2015.0,"剧情, 爱情"
30282387,银河补习班,6.2,2019.0,剧情
25779217,诛仙1,4.5,2019.0,"爱情, 奇幻, 古装"
3734112,风声,8.4,2009.0,"剧情, 惊悚, 战争, 犯罪"
35460157,人生大事,7.3,2022.0,"剧情, 家庭"
1418019,大闹天宫,9.4,1961.0,"剧情, 动画, 奇幻, 古装"
25710912,港囧,5.7,2015.0,喜剧
36208094,第二十条,7.5,2024.0,"剧情, 喜剧, 家庭"
1578714,神奇女侠,7.1,2017.0,"动作, 奇幻, 冒险"
6973376,致我们终将逝去的青春,6.5,2013.0,"剧情, 爱情"
30269016,半个喜剧,7.3,2019.0,"喜剧, 爱情"
2135981,画皮,6.8,2008.0,"剧情, 爱情, 惊悚, 奇幻"
36369452,飞驰人生2,7.6,2024.0,"剧情, 喜剧, 运动"
1859036,宝贝计划,7.6,2006.0,"剧情, 喜剧, 动作"
24753810,战狼,7.0,2015.0,"动作, 战争"
3596502,唐山大地震,7.9,2010.0,"剧情, 历史, 灾难"
35312437,奇迹·笨小孩,7.4,2022.0,剧情
30171424,拆弹专家2,7.4,2020.0,"动作, 犯罪"
1307106,无间道2,8.8,2003.0,"剧情, 惊悚, 犯罪"
11589036,功夫熊猫3,7.8,2016.0,"喜剧, 动作, 动画, 冒险"
3804891,无人区,8.4,2013.0,"剧情, 犯罪, 西部"
2124724,不能说的秘密,8.2,2007.0,"爱情, 音乐, 奇幻"
1305690,阿飞正传,8.5,2018.0,"剧情, 爱情, 犯罪"
36035676,长安三万里,8.3,2023.0,"动画, 历史"
25895276,煎饼侠,5.8,2015.0,喜剧
35372742,无名,6.6,2023.0,"剧情, 悬疑, 历史"
4305436,志明与春娇,7.9,2010.0,"剧情, 喜剧, 爱情"
25917973,心迷宫,8.7,2015.0,"剧情, 悬疑, 犯罪"
24745500,绣春刀,7.7,2014.0,"剧情, 动作, 武侠, 古装"
24879858,分手大师,5.2,2014.0,"喜剧, 爱情"
4840388,新喜剧之王,5.7,2019.0,"剧情, 喜剧"
35505100,这个杀手不太冷静,6.1,2022.0,喜剧
1292287,新龙门客栈,8.7,2012.0,"动作, 爱情, 武侠, 古装"
27102569,悲伤逆流成河,5.8,2018.0,"剧情, 爱情"
1301168,卧虎藏龙,8.4,2000.0,"剧情, 爱情, 武侠"
34941536,宇宙探索编辑部,8.0,2023.0,"喜剧, 科幻"
26647117,暴裂无声,8.2,2018.0,"剧情, 悬疑, 犯罪"
26606743,嫌疑人X的献身,6.3,2017.0,"剧情, 悬疑, 犯罪"
3041806,叶问,7.8,2008.0,"剧情, 动作, 传记, 历史"
30128916,夺冠,7.1,2020.0,"剧情, 运动"
25884801,记忆大师,7.1,2017.0,"悬疑, 惊悚"
26270502,绣春刀II：修罗战场,7.2,2017.0,"剧情, 动作, 武侠, 古装"
24743711,催眠大师,7.6,2014.0,"悬疑, 惊悚"
3313801,非诚勿扰,7.3,2008.0,"喜剧, 爱情"
30377703,来电狂响,5.7,2018.0,"剧情, 喜剧"
6982558,长城,4.9,2016.0,"动作, 奇幻, 冒险"
1297747,少林足球,8.2,2001.0,"喜剧, 动作, 运动"
25745752,左耳,5.7,2015.0,"剧情, 爱情"
30221757,烈火英雄,6.4,2019.0,"剧情, 灾难"
5327268,荒野猎人,8.0,2016.0,"剧情, 动作, 冒险"
1293351,食神,8.2,2024.0,"喜剧, 动作"
1295409,纵横四海,8.8,1991.0,"剧情, 喜剧, 动作, 犯罪"
24852545,爱情公寓,3.2,2018.0,"喜剧, 冒险"
1297863,武状元苏乞儿,8.2,1992.0,"喜剧, 动作, 武侠, 古装"
4212172,十二生肖,6.8,2012.0,"喜剧, 动作, 冒险"
27663742,老师·好,6.6,2019.0,剧情
1307739,国产凌凌漆,8.5,1994.0,"喜剧, 动作"
25798448,解救吾先生,7.7,2015.0,"剧情, 犯罪"
1329562,头文字D,7.8,2005.0,"剧情, 动作"
26430107,二十二,8.7,2017.0,纪录片
1329936,大内密探零零发,8.1,1996.0,"喜剧, 动作, 爱情, 古装"
26816383,喜欢你,6.7,2017.0,"喜剧, 爱情"
27113517,血观音,8.6,2017.0,"剧情, 悬疑"
10807909,智取威虎山,7.7,2014.0,"剧情, 动作, 战争, 冒险"
27059130,大佛普拉斯,8.7,2017.0,"剧情, 喜剧"
35131346,隐入尘烟,8.4,2022.0,剧情
7054604,变形金刚4：绝迹重生,6.7,2014.0,"动作, 科幻, 冒险"
35144311,雄狮少年,8.3,2021.0,"剧情, 喜剧, 动画"
30252495,1917,8.5,2020.0,"剧情, 战争"
26425068,追龙,7.2,2017.0,"动作, 犯罪"
26654184,万里归途,7.3,2022.0,"剧情, 战争"
6386345,春娇与志明,7.3,2012.0,"剧情, 喜剧, 爱情"
26790961,闪光少女,7.2,2017.0,"喜剧, 音乐"
6890730,寒战,7.6,2012.0,"剧情, 动作, 犯罪"
1302090,逃学威龙,8.2,1991.0,"喜剧, 动作, 爱情"
10727641,碟中谍5：神秘国度,7.9,2015.0,"动作, 惊悚, 冒险"
25779218,匆匆那年,5.6,2014.0,爱情
25882296,狄仁杰之四大天王,6.1,2018.0,"动作, 悬疑, 奇幻, 武侠, 古装"
1308575,蓝色大门,8.4,2002.0,"剧情, 爱情, 同性"
10831445,百鸟朝凤,8.3,2016.0,"剧情, 音乐"
25983044,比利·林恩的中场战事,8.3,2016.0,"剧情, 战争"
26728669,风中有朵雨做的云,7.2,2019.0,"剧情, 悬疑, 犯罪"
30413052,攀登者,6.0,2019.0,"剧情, 爱情, 冒险"
1306160,新警察故事,7.9,2004.0,"剧情, 动作, 惊悚, 犯罪"
35457272,保你平安,7.7,2023.0,"剧情, 喜剧"
35158160,我的姐姐,6.9,2021.0,"剧情, 家庭"
10605978,私人订制,6.0,2013.0,喜剧
24751763,罗曼蒂克消亡史,7.7,2016.0,剧情
1292434,一一,9.1,2017.0,"剧情, 爱情, 家庭"
36282639,唐探1900,6.4,2025.0,"喜剧, 动作, 悬疑"
25662327,火锅英雄,7.2,2016.0,"剧情, 犯罪"
30435124,白蛇2：青蛇劫起,6.8,2021.0,"动画, 奇幻, 冒险"
24847340,小时代3：刺金时代,4.8,2014.0,"剧情, 喜剧, 爱情"
25824686,变形金刚5：最后的骑士,4.9,2017.0,"动作, 科幻, 冒险"
24721493,小时代2：青木时代,5.1,2013.0,"剧情, 喜剧, 爱情"
33456512,涉过愤怒的海,7.1,2023.0,"剧情, 悬疑, 犯罪"
1308857,可可西里,8.9,2004.0,"剧情, 犯罪"
26811587,大护法,7.8,2017.0,"喜剧, 动画, 奇幻, 冒险"
24875534,十二公民,8.4,2015.0,剧情
35208463,三大队,7.6,2023.0,"剧情, 犯罪"
2124703,疯狂的赛车,8.4,2009.0,"喜剧, 动作, 冒险"
1307694,无间道3：终极无间,8.2,2003.0,"剧情, 惊悚, 犯罪"
35068653,误杀2,5.7,2021.0,"剧情, 犯罪"
26649682,深海,7.3,2023.0,"动画, 奇幻"
21941804,白日焰火,7.6,2014.0,"剧情, 悬疑, 犯罪"
35613853,长津湖之水门桥,7.2,2022.0,"剧情, 历史, 战争"
26290365,恶棍天使,4.5,2015.0,喜剧
1297223,鹿鼎记,8.4,1992.0,"喜剧, 动作, 武侠, 古装"
3824672,听说,8.2,2015.0,"剧情, 爱情"
26654146,解忧杂货店,5.0,2017.0,"剧情, 奇幻"
24847343,小时代4：灵魂尽头,5.1,2015.0,"喜剧, 爱情"
30174085,怒火·重案,7.2,2021.0,"动作, 犯罪"
4151110,山楂树之恋,7.2,2010.0,"剧情, 爱情"
26322792,北京遇上西雅图之不二情书,6.4,2016.0,"喜剧, 爱情"
26313973,我是证人,6.4,2015.0,"剧情, 悬疑, 犯罪"
24843198,同桌的妳,6.0,2014.0,"剧情, 爱情"
34894753,沐浴之王,5.9,2020.0,喜剧
34880302,人潮汹涌,6.5,2021.0,"喜剧, 犯罪"
1307023,神话,7.0,2005.0,"剧情, 喜剧, 动作, 奇幻, 冒险"
3230459,李米的猜想,8.1,2008.0,"剧情, 爱情, 犯罪"
26426194,巨齿鲨,5.7,2018.0,"动作, 科幻, 惊悚"
21352814,归来,8.1,2014.0,"剧情, 爱情, 历史"
26715636,地久天长,8.0,2019.0,"剧情, 家庭"
25801066,西游伏妖篇,5.5,2017.0,"喜剧, 动作, 奇幻, 古装"
26816076,“大”人物,6.4,2019.0,"动作, 犯罪"
11510624,全民目击,7.8,2013.0,"剧情, 悬疑, 犯罪"
4876722,钢的琴,8.5,2011.0,"剧情, 喜剧"
20435622,环太平洋：雷霆再起,5.4,2018.0,"动作, 科幻, 冒险"
26885074,叶问4：完结篇,6.8,2019.0,"剧情, 动作"
26035290,悟空传,5.1,2017.0,"剧情, 动作, 奇幻"
1303037,喜宴,9.0,1993.0,"剧情, 喜剧, 爱情, 同性, 家庭"
